Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress ScoreÂ®,Steps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2025-01-09 09:17:47,false,"McHenry County Walking","2.90","244","01:01:52","93","115","1.4","101","187","21:20","3:15","489","135","0.76","0.0","6,396","--","No","00:18:27","3","00:51:47","01:01:52","622","979"
Running,2025-01-07 16:47:46,false,"Madison Running","2.04","188","00:19:50","161","177","3.2","171","192","9:44","7:28","87","93","0.97","0.0","3,388","--","No","00:00:22.3","3","00:19:45","00:22:15","871","945"
Indoor Cycling,2025-01-05 16:19:43,false,"Indoor Cycling","0.00","199","00:33:16","129","165","2.2","--","--","--","--","--","--","--","0.0","--","--","No","00:33:16","1","00:00:00","00:33:16","--","--"
Indoor Cycling,2024-12-31 21:57:48,false,"Indoor Cycling","0.00","420","01:23:41","129","169","2.3","--","--","--","--","--","--","--","0.0","--","--","No","01:23:41","1","00:00:00","01:23:41","--","--"
Walking,2024-12-31 12:28:08,false,"McHenry County Walking","2.96","273","01:06:59","98","125","1.7","93","187","22:36","10:03","136","136","0.78","0.0","6,370","--","No","00:18:48","3","00:52:49","01:06:59","867","1,024"
Indoor Cycling,2024-12-30 21:54:52,false,"Indoor Cycling","0.00","176","00:33:25","122","159","2.0","--","--","--","--","--","--","--","0.0","--","--","No","00:33:25","1","00:00:00","00:36:35","--","--"
Running,2024-12-29 08:41:40,false,"McHenry County Running","0.13","7","00:01:00.8","107","112","0.3","132","187","7:56","7:37","--","--","1.54","0.0","176","--","No","00:01:00.8","1","00:00:57","00:01:00.8","962","980"
Running,2024-12-26 15:55:35,false,"McHenry County Running","5.36","478","00:46:13","179","191","5.0","167","193","8:37","6:17","289","304","1.12","0.0","7,716","--","No","00:03:04.4","6","00:46:09","00:49:34","866","980"
Running,2024-12-24 16:10:23,false,"McHenry County Running","2.76","234","00:23:27","167","185","4.1","167","177","8:30","7:32","132","123","1.13","0.0","3,928","--","No","00:06:21.9","3","00:23:27","00:25:13","887","980"
Strength Training,2024-12-23 08:58:34,false,"Strength","0.00","42","00:12:59","98","117","0.2","--","--","--","--","--","--","--","0.0","--","1","No","00:12:59","1","00:12:59","00:12:59","--","--"
Strength Training,2024-12-20 08:11:58,false,"Strength","0.00","245","00:46:01","129","165","2.6","--","--","--","--","--","--","--","0.0","--","1","No","00:46:01","1","00:46:01","00:46:01","--","--"
Running,2024-12-16 21:49:35,false,"Madison Running","0.05","3","00:00:29.4","111","122","0.1","155","185","10:44","9:29","--","--","0.97","0.0","72","--","No","00:00:29.4","1","00:00:28","00:00:29.4","856","857"
Cycling,2024-12-09 14:46:28,false,"Madison Cycling","20.26","372","01:26:53","121","147","2.1","--","--","14.0","22.6","185","185","--","0.0","--","--","No","00:01:07.6","5","01:25:58","01:34:40","846","915"
Cycling,2024-12-08 19:58:19,false,"Madison Cycling","2.90","84","00:13:08","135","172","2.4","--","--","13.2","24.4","335","340","--","0.0","--","--","No","00:13:08","1","00:12:20","03:21:03","622","929"
Cycling,2024-12-07 22:28:02,false,"Madison Cycling","1.38","43","00:07:00.9","126","153","1.4","--","--","11.8","18.0","48","53","--","0.0","--","--","No","00:07:00.9","1","00:06:50","00:07:17.9","850","918"
Cycling,2024-12-07 10:45:34,false,"Madison Cycling","3.47","138","00:16:35","152","178","2.8","--","--","12.5","21.9","89","88","--","0.0","--","--","No","00:16:35","1","00:16:12","00:19:53","860","904"
Strength Training,2024-12-06 23:10:18,false,"Strength","0.00","177","00:34:52","123","147","1.8","--","--","--","--","--","--","--","0.0","--","1","No","00:34:52","1","00:34:52","00:39:44","--","--"
Cycling,2024-12-04 07:39:33,false,"Madison Cycling","3.13","95","00:15:50","128","149","1.6","--","--","11.8","18.2","92","187","--","0.0","--","--","No","00:15:50","1","00:14:57","02:22:54","860","973"
Running,2024-12-03 16:59:40,false,"Madison Running","1.41","127","00:13:25","151","169","3.0","167","179","9:31","7:21","107","63","1.01","0.0","2,234","--","No","00:03:39.2","2","00:13:22","00:15:28","832","946"
Cycling,2024-12-01 21:09:40,false,"Madison Cycling","0.67","15","00:04:03.3","102","121","0.3","--","--","9.9","15.2","31","--","--","0.0","--","--","No","00:04:03.3","1","00:03:50","00:04:28.3","850","889"
